"Step","male_silero - loss/g/total","male_silero - loss/g/total__MIN","male_silero - loss/g/total__MAX"
"0","68.19308471679688","68.19308471679688","68.19308471679688"
"1","45.9328727722168","45.9328727722168","45.9328727722168"
"2","45.46945571899414","45.46945571899414","45.46945571899414"
"3","43.77305603027344","43.77305603027344","43.77305603027344"
"4","43.117332458496094","43.117332458496094","43.117332458496094"
"5","44.83265686035156","44.83265686035156","44.83265686035156"
"6","42.819374084472656","42.819374084472656","42.819374084472656"
"7","44.23114776611328","44.23114776611328","44.23114776611328"
"8","42.15694808959961","42.15694808959961","42.15694808959961"
"9","41.0561408996582","41.0561408996582","41.0561408996582"
"10","41.287601470947266","41.287601470947266","41.287601470947266"
"11","43.40314865112305","43.40314865112305","43.40314865112305"
"12","40.035186767578125","40.035186767578125","40.035186767578125"
"13","40.51591110229492","40.51591110229492","40.51591110229492"
"14","39.306156158447266","39.306156158447266","39.306156158447266"
"15","38.700965881347656","38.700965881347656","38.700965881347656"
"16","38.350189208984375","38.350189208984375","38.350189208984375"
"17","39.25663757324219","39.25663757324219","39.25663757324219"
"18","41.02101516723633","41.02101516723633","41.02101516723633"
"19","39.87114334106445","39.87114334106445","39.87114334106445"
"20","39.00905227661133","39.00905227661133","39.00905227661133"
"21","41.345951080322266","41.345951080322266","41.345951080322266"
"22","39.877052307128906","39.877052307128906","39.877052307128906"
"23","40.73114776611328","40.73114776611328","40.73114776611328"
"24","37.22350311279297","37.22350311279297","37.22350311279297"
"25","41.22578430175781","41.22578430175781","41.22578430175781"
"26","41.099273681640625","41.099273681640625","41.099273681640625"
"27","41.69526290893555","41.69526290893555","41.69526290893555"
"28","38.74465560913086","38.74465560913086","38.74465560913086"
"29","38.968505859375","38.968505859375","38.968505859375"
"30","39.07973861694336","39.07973861694336","39.07973861694336"
"31","39.53664779663086","39.53664779663086","39.53664779663086"
"32","39.713985443115234","39.713985443115234","39.713985443115234"
"33","39.66741943359375","39.66741943359375","39.66741943359375"
"34","39.474647521972656","39.474647521972656","39.474647521972656"
"35","40.93192672729492","40.93192672729492","40.93192672729492"
"36","39.712005615234375","39.712005615234375","39.712005615234375"
"37","42.237510681152344","42.237510681152344","42.237510681152344"
"38","40.219993591308594","40.219993591308594","40.219993591308594"
"39","41.40297317504883","41.40297317504883","41.40297317504883"
"40","41.01305389404297","41.01305389404297","41.01305389404297"
"41","39.66960525512695","39.66960525512695","39.66960525512695"
"42","40.68395233154297","40.68395233154297","40.68395233154297"
"43","40.097869873046875","40.097869873046875","40.097869873046875"
"44","41.85285949707031","41.85285949707031","41.85285949707031"
"45","38.88600158691406","38.88600158691406","38.88600158691406"
"46","40.15788269042969","40.15788269042969","40.15788269042969"
"47","37.79520034790039","37.79520034790039","37.79520034790039"
"48","38.979591369628906","38.979591369628906","38.979591369628906"
"49","39.007633209228516","39.007633209228516","39.007633209228516"
"50","40.560245513916016","40.560245513916016","40.560245513916016"
"51","38.15217971801758","38.15217971801758","38.15217971801758"
"52","38.47999954223633","38.47999954223633","38.47999954223633"
"53","37.834922790527344","37.834922790527344","37.834922790527344"
"54","38.210853576660156","38.210853576660156","38.210853576660156"
"55","40.87350845336914","40.87350845336914","40.87350845336914"
"56","38.226173400878906","38.226173400878906","38.226173400878906"
"57","39.00621032714844","39.00621032714844","39.00621032714844"
"58","38.61415481567383","38.61415481567383","38.61415481567383"
"59","41.67997741699219","41.67997741699219","41.67997741699219"
"60","41.04179763793945","41.04179763793945","41.04179763793945"
"61","38.01155090332031","38.01155090332031","38.01155090332031"
"62","38.268394470214844","38.268394470214844","38.268394470214844"
"63","37.50113296508789","37.50113296508789","37.50113296508789"
"64","40.97657775878906","40.97657775878906","40.97657775878906"
"65","36.8656005859375","36.8656005859375","36.8656005859375"
"66","39.56095886230469","39.56095886230469","39.56095886230469"
"67","39.96435546875","39.96435546875","39.96435546875"
"68","38.213233947753906","38.213233947753906","38.213233947753906"
"69","38.10898971557617","38.10898971557617","38.10898971557617"
"70","40.87852096557617","40.87852096557617","40.87852096557617"
"71","38.586673736572266","38.586673736572266","38.586673736572266"
"72","41.3277702331543","41.3277702331543","41.3277702331543"
"73","38.690425872802734","38.690425872802734","38.690425872802734"
"74","38.09093475341797","38.09093475341797","38.09093475341797"
"75","39.80834197998047","39.80834197998047","39.80834197998047"
"76","37.837669372558594","37.837669372558594","37.837669372558594"
"77","39.56377410888672","39.56377410888672","39.56377410888672"
"78","39.15092849731445","39.15092849731445","39.15092849731445"
"79","39.80432891845703","39.80432891845703","39.80432891845703"
"80","38.95305252075195","38.95305252075195","38.95305252075195"
"81","38.62565231323242","38.62565231323242","38.62565231323242"
"82","39.19481658935547","39.19481658935547","39.19481658935547"
"83","39.846961975097656","39.846961975097656","39.846961975097656"
"84","36.090389251708984","36.090389251708984","36.090389251708984"
"85","37.37820053100586","37.37820053100586","37.37820053100586"
"86","39.838951110839844","39.838951110839844","39.838951110839844"
"87","37.62773132324219","37.62773132324219","37.62773132324219"
"88","40.21893310546875","40.21893310546875","40.21893310546875"
"89","37.81830978393555","37.81830978393555","37.81830978393555"
"90","37.774471282958984","37.774471282958984","37.774471282958984"
"91","39.841590881347656","39.841590881347656","39.841590881347656"
"92","39.52973175048828","39.52973175048828","39.52973175048828"
"93","39.738197326660156","39.738197326660156","39.738197326660156"
"94","37.38277053833008","37.38277053833008","37.38277053833008"
"95","38.95781707763672","38.95781707763672","38.95781707763672"
"96","37.804412841796875","37.804412841796875","37.804412841796875"
"97","39.431636810302734","39.431636810302734","39.431636810302734"
"98","38.659263610839844","38.659263610839844","38.659263610839844"
