"Step","male_silero - loss/g/kl","male_silero - loss/g/kl__MIN","male_silero - loss/g/kl__MAX"
"183","3.0982370376586914","3.0982370376586914","3.0982370376586914"
"184","2.0945050716400146","2.0945050716400146","2.0945050716400146"
"185","2.2265102863311768","2.2265102863311768","2.2265102863311768"
"186","2.0691640377044678","2.0691640377044678","2.0691640377044678"
"187","2.192420482635498","2.192420482635498","2.192420482635498"
"188","2.2486648559570312","2.2486648559570312","2.2486648559570312"
"189","2.5696041584014893","2.5696041584014893","2.5696041584014893"
"190","2.604759931564331","2.604759931564331","2.604759931564331"
"191","2.3358314037323","2.3358314037323","2.3358314037323"
"192","2.3734750747680664","2.3734750747680664","2.3734750747680664"
"193","2.362142324447632","2.362142324447632","2.362142324447632"
"194","2.250629425048828","2.250629425048828","2.250629425048828"
"195","2.4303629398345947","2.4303629398345947","2.4303629398345947"
"196","2.4985764026641846","2.4985764026641846","2.4985764026641846"
"197","2.43497896194458","2.43497896194458","2.43497896194458"
"198","1.6791646480560303","1.6791646480560303","1.6791646480560303"
"199","1.7403740882873535","1.7403740882873535","1.7403740882873535"
"200","1.8509762287139893","1.8509762287139893","1.8509762287139893"
"201","1.9484456777572632","1.9484456777572632","1.9484456777572632"
"202","2.1688246726989746","2.1688246726989746","2.1688246726989746"
"203","2.3876025676727295","2.3876025676727295","2.3876025676727295"
"204","2.112900733947754","2.112900733947754","2.112900733947754"
"205","2.697103261947632","2.697103261947632","2.697103261947632"
"206","2.167064666748047","2.167064666748047","2.167064666748047"
"207","1.7990374565124512","1.7990374565124512","1.7990374565124512"
"208","2.2351198196411133","2.2351198196411133","2.2351198196411133"
"209","2.311840295791626","2.311840295791626","2.311840295791626"
"210","2.811203956604004","2.811203956604004","2.811203956604004"
"211","2.3039979934692383","2.3039979934692383","2.3039979934692383"
"212","2.0666654109954834","2.0666654109954834","2.0666654109954834"
"213","1.926877737045288","1.926877737045288","1.926877737045288"
"214","2.1413700580596924","2.1413700580596924","2.1413700580596924"
"215","2.301687717437744","2.301687717437744","2.301687717437744"
