"Step","male_silero - loss/g/mel","male_silero - loss/g/mel__MIN","male_silero - loss/g/mel__MAX"
"0","35.51158905029297","35.51158905029297","35.51158905029297"
"1","22.185949325561523","22.185949325561523","22.185949325561523"
"2","21.60505485534668","21.60505485534668","21.60505485534668"
"3","20.1558895111084","20.1558895111084","20.1558895111084"
"4","19.576053619384766","19.576053619384766","19.576053619384766"
"5","20.78462791442871","20.78462791442871","20.78462791442871"
"6","20.81565284729004","20.81565284729004","20.81565284729004"
"7","20.95067024230957","20.95067024230957","20.95067024230957"
"8","19.858667373657227","19.858667373657227","19.858667373657227"
"9","19.749929428100586","19.749929428100586","19.749929428100586"
"10","20.36528778076172","20.36528778076172","20.36528778076172"
"11","21.020755767822266","21.020755767822266","21.020755767822266"
"12","19.90532684326172","19.90532684326172","19.90532684326172"
"13","19.730504989624023","19.730504989624023","19.730504989624023"
"14","19.719179153442383","19.719179153442383","19.719179153442383"
"15","19.530315399169922","19.530315399169922","19.530315399169922"
"16","19.15473175048828","19.15473175048828","19.15473175048828"
"17","19.64273452758789","19.64273452758789","19.64273452758789"
"18","20.156814575195312","20.156814575195312","20.156814575195312"
"19","18.984127044677734","18.984127044677734","18.984127044677734"
"20","19.456377029418945","19.456377029418945","19.456377029418945"
"21","19.668088912963867","19.668088912963867","19.668088912963867"
"22","18.851041793823242","18.851041793823242","18.851041793823242"
"23","19.099119186401367","19.099119186401367","19.099119186401367"
"24","18.9440860748291","18.9440860748291","18.9440860748291"
"25","20.18738555908203","20.18738555908203","20.18738555908203"
"26","19.949792861938477","19.949792861938477","19.949792861938477"
"27","20.092178344726562","20.092178344726562","20.092178344726562"
"28","19.4259090423584","19.4259090423584","19.4259090423584"
"29","19.034631729125977","19.034631729125977","19.034631729125977"
"30","19.033668518066406","19.033668518066406","19.033668518066406"
"31","19.876209259033203","19.876209259033203","19.876209259033203"
"32","19.674070358276367","19.674070358276367","19.674070358276367"
"33","19.166866302490234","19.166866302490234","19.166866302490234"
"34","18.997478485107422","18.997478485107422","18.997478485107422"
"35","19.2490177154541","19.2490177154541","19.2490177154541"
"36","19.458589553833008","19.458589553833008","19.458589553833008"
"37","21.402589797973633","21.402589797973633","21.402589797973633"
"38","19.986780166625977","19.986780166625977","19.986780166625977"
"39","20.23749542236328","20.23749542236328","20.23749542236328"
"40","20.665409088134766","20.665409088134766","20.665409088134766"
"41","18.640520095825195","18.640520095825195","18.640520095825195"
"42","18.714597702026367","18.714597702026367","18.714597702026367"
"43","19.223438262939453","19.223438262939453","19.223438262939453"
"44","20.044023513793945","20.044023513793945","20.044023513793945"
"45","19.165363311767578","19.165363311767578","19.165363311767578"
"46","19.4674072265625","19.4674072265625","19.4674072265625"
"47","18.090179443359375","18.090179443359375","18.090179443359375"
"48","19.11609649658203","19.11609649658203","19.11609649658203"
"49","19.44424819946289","19.44424819946289","19.44424819946289"
"50","19.41226577758789","19.41226577758789","19.41226577758789"
"51","19.81659507751465","19.81659507751465","19.81659507751465"
"52","19.09031105041504","19.09031105041504","19.09031105041504"
"53","18.751636505126953","18.751636505126953","18.751636505126953"
"54","18.62678337097168","18.62678337097168","18.62678337097168"
"55","20.083778381347656","20.083778381347656","20.083778381347656"
"56","18.68179702758789","18.68179702758789","18.68179702758789"
"57","18.551931381225586","18.551931381225586","18.551931381225586"
"58","18.50659942626953","18.50659942626953","18.50659942626953"
"59","19.901473999023438","19.901473999023438","19.901473999023438"
"60","19.181697845458984","19.181697845458984","19.181697845458984"
"61","19.63131332397461","19.63131332397461","19.63131332397461"
"62","18.710256576538086","18.710256576538086","18.710256576538086"
"63","18.615278244018555","18.615278244018555","18.615278244018555"
