"Step","male_silero - loss/g/dur","male_silero - loss/g/dur__MIN","male_silero - loss/g/dur__MAX"
"0","6.757716178894043","6.757716178894043","6.757716178894043"
"1","2.3167474269866943","2.3167474269866943","2.3167474269866943"
"2","2.3541040420532227","2.3541040420532227","2.3541040420532227"
"3","2.1794607639312744","2.1794607639312744","2.1794607639312744"
"4","2.305060863494873","2.305060863494873","2.305060863494873"
"5","2.425882339477539","2.425882339477539","2.425882339477539"
"6","2.2811896800994873","2.2811896800994873","2.2811896800994873"
"7","2.1924521923065186","2.1924521923065186","2.1924521923065186"
"8","2.4403815269470215","2.4403815269470215","2.4403815269470215"
"9","2.2650856971740723","2.2650856971740723","2.2650856971740723"
"10","2.503509521484375","2.503509521484375","2.503509521484375"
"11","2.300539016723633","2.300539016723633","2.300539016723633"
"12","2.2423338890075684","2.2423338890075684","2.2423338890075684"
"13","2.279907703399658","2.279907703399658","2.279907703399658"
"14","2.2385025024414062","2.2385025024414062","2.2385025024414062"
"15","2.177670478820801","2.177670478820801","2.177670478820801"
"16","2.2540531158447266","2.2540531158447266","2.2540531158447266"
"17","2.1923067569732666","2.1923067569732666","2.1923067569732666"
"18","2.295382022857666","2.295382022857666","2.295382022857666"
"19","2.1733386516571045","2.1733386516571045","2.1733386516571045"
"20","2.1108338832855225","2.1108338832855225","2.1108338832855225"
"21","2.170992851257324","2.170992851257324","2.170992851257324"
"22","2.1492929458618164","2.1492929458618164","2.1492929458618164"
"23","2.275162696838379","2.275162696838379","2.275162696838379"
"24","2.1915786266326904","2.1915786266326904","2.1915786266326904"
"25","2.2011771202087402","2.2011771202087402","2.2011771202087402"
"26","2.2771992683410645","2.2771992683410645","2.2771992683410645"
"27","2.3008623123168945","2.3008623123168945","2.3008623123168945"
"28","2.080200672149658","2.080200672149658","2.080200672149658"
"29","2.2408180236816406","2.2408180236816406","2.2408180236816406"
"30","2.1220006942749023","2.1220006942749023","2.1220006942749023"
"31","2.3104772567749023","2.3104772567749023","2.3104772567749023"
"32","2.310460090637207","2.310460090637207","2.310460090637207"
"33","2.3587076663970947","2.3587076663970947","2.3587076663970947"
"34","2.3835315704345703","2.3835315704345703","2.3835315704345703"
"35","2.2154648303985596","2.2154648303985596","2.2154648303985596"
"36","2.2248759269714355","2.2248759269714355","2.2248759269714355"
"37","2.3310277462005615","2.3310277462005615","2.3310277462005615"
"38","2.274803876876831","2.274803876876831","2.274803876876831"
"39","2.2057440280914307","2.2057440280914307","2.2057440280914307"
"40","2.343207836151123","2.343207836151123","2.343207836151123"
"41","2.1916565895080566","2.1916565895080566","2.1916565895080566"
"42","2.20047664642334","2.20047664642334","2.20047664642334"
"43","2.164905071258545","2.164905071258545","2.164905071258545"
"44","2.1747279167175293","2.1747279167175293","2.1747279167175293"
"45","2.201831817626953","2.201831817626953","2.201831817626953"
"46","2.182680606842041","2.182680606842041","2.182680606842041"
"47","2.1745457649230957","2.1745457649230957","2.1745457649230957"
"48","2.30588436126709","2.30588436126709","2.30588436126709"
"49","2.3457229137420654","2.3457229137420654","2.3457229137420654"
"50","2.250340461730957","2.250340461730957","2.250340461730957"
"51","2.191150426864624","2.191150426864624","2.191150426864624"
"52","2.1908791065216064","2.1908791065216064","2.1908791065216064"
"53","2.196930170059204","2.196930170059204","2.196930170059204"
"54","2.0635182857513428","2.0635182857513428","2.0635182857513428"
"55","2.2638301849365234","2.2638301849365234","2.2638301849365234"
"56","2.2653141021728516","2.2653141021728516","2.2653141021728516"
"57","2.2041263580322266","2.2041263580322266","2.2041263580322266"
"58","2.163604259490967","2.163604259490967","2.163604259490967"
"59","2.232743501663208","2.232743501663208","2.232743501663208"
"60","2.2927801609039307","2.2927801609039307","2.2927801609039307"
"61","2.398240089416504","2.398240089416504","2.398240089416504"
"62","2.177436590194702","2.177436590194702","2.177436590194702"
"63","2.326425313949585","2.326425313949585","2.326425313949585"
"64","2.1129417419433594","2.1129417419433594","2.1129417419433594"
"65","2.1111114025115967","2.1111114025115967","2.1111114025115967"
"66","2.12034273147583","2.12034273147583","2.12034273147583"
"67","2.1699860095977783","2.1699860095977783","2.1699860095977783"
"68","2.256284236907959","2.256284236907959","2.256284236907959"
"69","2.2346253395080566","2.2346253395080566","2.2346253395080566"
"70","2.148834228515625","2.148834228515625","2.148834228515625"
"71","2.210986614227295","2.210986614227295","2.210986614227295"
"72","2.538846492767334","2.538846492767334","2.538846492767334"
"73","2.1212401390075684","2.1212401390075684","2.1212401390075684"
"74","2.15438175201416","2.15438175201416","2.15438175201416"
"75","2.2095847129821777","2.2095847129821777","2.2095847129821777"
"76","2.1854448318481445","2.1854448318481445","2.1854448318481445"
"77","2.2392330169677734","2.2392330169677734","2.2392330169677734"
"78","2.3167307376861572","2.3167307376861572","2.3167307376861572"
"79","2.1323227882385254","2.1323227882385254","2.1323227882385254"
"80","2.1470108032226562","2.1470108032226562","2.1470108032226562"
"81","2.231050491333008","2.231050491333008","2.231050491333008"
"82","2.2531731128692627","2.2531731128692627","2.2531731128692627"
"83","2.1555867195129395","2.1555867195129395","2.1555867195129395"
"84","2.188486337661743","2.188486337661743","2.188486337661743"
"85","2.146355628967285","2.146355628967285","2.146355628967285"
"86","2.3887805938720703","2.3887805938720703","2.3887805938720703"
"87","2.129091501235962","2.129091501235962","2.129091501235962"
"88","2.252018690109253","2.252018690109253","2.252018690109253"
"89","2.1655306816101074","2.1655306816101074","2.1655306816101074"
"90","2.187103271484375","2.187103271484375","2.187103271484375"
"91","2.154573678970337","2.154573678970337","2.154573678970337"
"92","2.227372407913208","2.227372407913208","2.227372407913208"
"93","2.218356132507324","2.218356132507324","2.218356132507324"
"94","2.166877508163452","2.166877508163452","2.166877508163452"
"95","2.210242748260498","2.210242748260498","2.210242748260498"
"96","2.1022229194641113","2.1022229194641113","2.1022229194641113"
"97","2.297758102416992","2.297758102416992","2.297758102416992"
