"Step","male_silero - loss/g/fm","male_silero - loss/g/fm__MIN","male_silero - loss/g/fm__MAX"
"53","7.597001552581787","7.597001552581787","7.597001552581787"
"54","8.584388732910156","8.584388732910156","8.584388732910156"
"55","8.46076774597168","8.46076774597168","8.46076774597168"
"56","7.564275741577148","7.564275741577148","7.564275741577148"
"57","8.257081031799316","8.257081031799316","8.257081031799316"
"58","8.315662384033203","8.315662384033203","8.315662384033203"
"59","8.56081485748291","8.56081485748291","8.56081485748291"
"60","8.417389869689941","8.417389869689941","8.417389869689941"
"61","6.850188255310059","6.850188255310059","6.850188255310059"
"62","8.265311241149902","8.265311241149902","8.265311241149902"
"63","7.327757835388184","7.327757835388184","7.327757835388184"
"64","8.589893341064453","8.589893341064453","8.589893341064453"
"65","7.17333984375","7.17333984375","7.17333984375"
"66","8.8740816116333","8.8740816116333","8.8740816116333"
"67","8.901521682739258","8.901521682739258","8.901521682739258"
"68","7.1634202003479","7.1634202003479","7.1634202003479"
"69","7.952175140380859","7.952175140380859","7.952175140380859"
"70","8.826682090759277","8.826682090759277","8.826682090759277"
"71","7.468842506408691","7.468842506408691","7.468842506408691"
"72","8.494336128234863","8.494336128234863","8.494336128234863"
"73","7.918957233428955","7.918957233428955","7.918957233428955"
"74","7.062580108642578","7.062580108642578","7.062580108642578"
"75","8.663570404052734","8.663570404052734","8.663570404052734"
"76","7.335207939147949","7.335207939147949","7.335207939147949"
"77","8.435858726501465","8.435858726501465","8.435858726501465"
"78","9.224303245544434","9.224303245544434","9.224303245544434"
"79","8.821638107299805","8.821638107299805","8.821638107299805"
"80","8.677033424377441","8.677033424377441","8.677033424377441"
"81","8.911927223205566","8.911927223205566","8.911927223205566"
"82","8.29365348815918","8.29365348815918","8.29365348815918"
"83","8.066036224365234","8.066036224365234","8.066036224365234"
"84","7.03749942779541","7.03749942779541","7.03749942779541"
"85","8.222199440002441","8.222199440002441","8.222199440002441"
"86","8.14477252960205","8.14477252960205","8.14477252960205"
"87","7.428379058837891","7.428379058837891","7.428379058837891"
"88","8.476734161376953","8.476734161376953","8.476734161376953"
"89","7.5993733406066895","7.5993733406066895","7.5993733406066895"
