"Step","female-silero - loss/g/mel","female-silero - loss/g/mel__MIN","female-silero - loss/g/mel__MAX"
"0","31.144733428955078","31.144733428955078","31.144733428955078"
"1","21.06951141357422","21.06951141357422","21.06951141357422"
"2","20.248971939086914","20.248971939086914","20.248971939086914"
"3","20.064899444580078","20.064899444580078","20.064899444580078"
"4","20.2065372467041","20.2065372467041","20.2065372467041"
"5","19.8682861328125","19.8682861328125","19.8682861328125"
"6","19.74928092956543","19.74928092956543","19.74928092956543"
"7","19.714298248291016","19.714298248291016","19.714298248291016"
"8","20.188819885253906","20.188819885253906","20.188819885253906"
"9","19.71023178100586","19.71023178100586","19.71023178100586"
"10","19.237747192382812","19.237747192382812","19.237747192382812"
"11","20.21188735961914","20.21188735961914","20.21188735961914"
"12","19.840625762939453","19.840625762939453","19.840625762939453"
"13","19.440752029418945","19.440752029418945","19.440752029418945"
"14","19.109474182128906","19.109474182128906","19.109474182128906"
"15","19.457874298095703","19.457874298095703","19.457874298095703"
"16","19.957290649414062","19.957290649414062","19.957290649414062"
"17","19.99973487854004","19.99973487854004","19.99973487854004"
"18","18.889257431030273","18.889257431030273","18.889257431030273"
"19","19.218765258789062","19.218765258789062","19.218765258789062"
"20","19.581893920898438","19.581893920898438","19.581893920898438"
"21","19.47960662841797","19.47960662841797","19.47960662841797"
"22","18.917102813720703","18.917102813720703","18.917102813720703"
"23","19.796998977661133","19.796998977661133","19.796998977661133"
"24","18.987945556640625","18.987945556640625","18.987945556640625"
"25","19.409244537353516","19.409244537353516","19.409244537353516"
"26","19.141273498535156","19.141273498535156","19.141273498535156"
"27","19.433290481567383","19.433290481567383","19.433290481567383"
"28","19.912817001342773","19.912817001342773","19.912817001342773"
"29","18.8509464263916","18.8509464263916","18.8509464263916"
"30","19.4664306640625","19.4664306640625","19.4664306640625"
"31","19.3896484375","19.3896484375","19.3896484375"
"32","19.807575225830078","19.807575225830078","19.807575225830078"
"33","19.450965881347656","19.450965881347656","19.450965881347656"
"34","20.256568908691406","20.256568908691406","20.256568908691406"
"35","19.183820724487305","19.183820724487305","19.183820724487305"
"36","18.708816528320312","18.708816528320312","18.708816528320312"
"37","18.951065063476562","18.951065063476562","18.951065063476562"
"38","19.12675666809082","19.12675666809082","19.12675666809082"
