"Step","female-silero - loss/g/dur","female-silero - loss/g/dur__MIN","female-silero - loss/g/dur__MAX"
"0","3.824756622314453","3.824756622314453","3.824756622314453"
"1","2.3317131996154785","2.3317131996154785","2.3317131996154785"
"2","2.1147570610046387","2.1147570610046387","2.1147570610046387"
"3","2.2319083213806152","2.2319083213806152","2.2319083213806152"
"4","2.10872745513916","2.10872745513916","2.10872745513916"
"5","2.1608657836914062","2.1608657836914062","2.1608657836914062"
"6","2.274224042892456","2.274224042892456","2.274224042892456"
"7","2.1633682250976562","2.1633682250976562","2.1633682250976562"
"8","2.414656162261963","2.414656162261963","2.414656162261963"
"9","2.0961577892303467","2.0961577892303467","2.0961577892303467"
"10","2.1631851196289062","2.1631851196289062","2.1631851196289062"
"11","2.249595880508423","2.249595880508423","2.249595880508423"
"12","2.1293833255767822","2.1293833255767822","2.1293833255767822"
"13","2.1591994762420654","2.1591994762420654","2.1591994762420654"
"14","2.1849782466888428","2.1849782466888428","2.1849782466888428"
"15","2.259100914001465","2.259100914001465","2.259100914001465"
"16","2.158194065093994","2.158194065093994","2.158194065093994"
"17","2.1177492141723633","2.1177492141723633","2.1177492141723633"
"18","2.097487688064575","2.097487688064575","2.097487688064575"
"19","2.106147289276123","2.106147289276123","2.106147289276123"
"20","2.1218414306640625","2.1218414306640625","2.1218414306640625"
"21","2.082617998123169","2.082617998123169","2.082617998123169"
"22","2.1731228828430176","2.1731228828430176","2.1731228828430176"
"23","2.0897202491760254","2.0897202491760254","2.0897202491760254"
"24","2.1941027641296387","2.1941027641296387","2.1941027641296387"
"25","2.253109931945801","2.253109931945801","2.253109931945801"
"26","2.169891119003296","2.169891119003296","2.169891119003296"
"27","2.220580577850342","2.220580577850342","2.220580577850342"
"28","2.181401014328003","2.181401014328003","2.181401014328003"
"29","2.142396926879883","2.142396926879883","2.142396926879883"
"30","2.152505397796631","2.152505397796631","2.152505397796631"
"31","2.0258898735046387","2.0258898735046387","2.0258898735046387"
"32","2.026900291442871","2.026900291442871","2.026900291442871"
"33","2.0803422927856445","2.0803422927856445","2.0803422927856445"
"34","2.06957745552063","2.06957745552063","2.06957745552063"
"35","2.2373082637786865","2.2373082637786865","2.2373082637786865"
"36","2.074899435043335","2.074899435043335","2.074899435043335"
"37","2.2659544944763184","2.2659544944763184","2.2659544944763184"
"38","2.188398838043213","2.188398838043213","2.188398838043213"
"39","2.0967531204223633","2.0967531204223633","2.0967531204223633"
"40","2.045280694961548","2.045280694961548","2.045280694961548"
"41","2.073580741882324","2.073580741882324","2.073580741882324"
"42","2.156055212020874","2.156055212020874","2.156055212020874"
"43","2.1762847900390625","2.1762847900390625","2.1762847900390625"
"44","2.204911708831787","2.204911708831787","2.204911708831787"
"45","2.098494052886963","2.098494052886963","2.098494052886963"
"46","2.1213057041168213","2.1213057041168213","2.1213057041168213"
"47","2.1106202602386475","2.1106202602386475","2.1106202602386475"
"48","2.2030532360076904","2.2030532360076904","2.2030532360076904"
"49","2.075882911682129","2.075882911682129","2.075882911682129"
"50","2.0201849937438965","2.0201849937438965","2.0201849937438965"
"51","2.054563522338867","2.054563522338867","2.054563522338867"
"52","2.0743346214294434","2.0743346214294434","2.0743346214294434"
"53","2.032533645629883","2.032533645629883","2.032533645629883"
"54","2.0405213832855225","2.0405213832855225","2.0405213832855225"
"55","2.1298768520355225","2.1298768520355225","2.1298768520355225"
"56","2.217299699783325","2.217299699783325","2.217299699783325"
"57","2.217337131500244","2.217337131500244","2.217337131500244"
"58","2.058501720428467","2.058501720428467","2.058501720428467"
"59","2.1051650047302246","2.1051650047302246","2.1051650047302246"
"60","2.085230588912964","2.085230588912964","2.085230588912964"
"61","2.075939178466797","2.075939178466797","2.075939178466797"
"62","2.129171848297119","2.129171848297119","2.129171848297119"
"63","2.058311939239502","2.058311939239502","2.058311939239502"
"64","2.087996244430542","2.087996244430542","2.087996244430542"
"65","2.091926097869873","2.091926097869873","2.091926097869873"
"66","2.166689872741699","2.166689872741699","2.166689872741699"
"67","2.0194077491760254","2.0194077491760254","2.0194077491760254"
"68","2.121691942214966","2.121691942214966","2.121691942214966"
"69","2.144232749938965","2.144232749938965","2.144232749938965"
"70","2.04007625579834","2.04007625579834","2.04007625579834"
"71","2.0772323608398438","2.0772323608398438","2.0772323608398438"
"72","2.0629680156707764","2.0629680156707764","2.0629680156707764"
"73","2.1097331047058105","2.1097331047058105","2.1097331047058105"
"74","2.18107271194458","2.18107271194458","2.18107271194458"
"75","2.0809454917907715","2.0809454917907715","2.0809454917907715"
"76","2.1470861434936523","2.1470861434936523","2.1470861434936523"
"77","1.9667973518371582","1.9667973518371582","1.9667973518371582"
"78","2.06217098236084","2.06217098236084","2.06217098236084"
"79","2.0271575450897217","2.0271575450897217","2.0271575450897217"
"80","2.070775032043457","2.070775032043457","2.070775032043457"
"81","2.1554834842681885","2.1554834842681885","2.1554834842681885"
"82","2.111328125","2.111328125","2.111328125"
"83","2.1071839332580566","2.1071839332580566","2.1071839332580566"
"84","2.3119912147521973","2.3119912147521973","2.3119912147521973"
"85","2.2823266983032227","2.2823266983032227","2.2823266983032227"
"86","2.1397337913513184","2.1397337913513184","2.1397337913513184"
"87","2.049715518951416","2.049715518951416","2.049715518951416"
"88","2.0376107692718506","2.0376107692718506","2.0376107692718506"
"89","1.7560617923736572","1.7560617923736572","1.7560617923736572"
"90","2.0378551483154297","2.0378551483154297","2.0378551483154297"
"91","2.142777442932129","2.142777442932129","2.142777442932129"
"92","2.138075828552246","2.138075828552246","2.138075828552246"
"93","2.1809394359588623","2.1809394359588623","2.1809394359588623"
"94","1.9852328300476074","1.9852328300476074","1.9852328300476074"
"95","2.0782456398010254","2.0782456398010254","2.0782456398010254"
"96","2.0286037921905518","2.0286037921905518","2.0286037921905518"
"97","2.049463987350464","2.049463987350464","2.049463987350464"
"98","2.264462471008301","2.264462471008301","2.264462471008301"
"99","2.0299830436706543","2.0299830436706543","2.0299830436706543"
"100","1.9751594066619873","1.9751594066619873","1.9751594066619873"
"101","1.9562087059020996","1.9562087059020996","1.9562087059020996"
"102","2.0294711589813232","2.0294711589813232","2.0294711589813232"
"103","1.9912463426589966","1.9912463426589966","1.9912463426589966"
"104","2.0241332054138184","2.0241332054138184","2.0241332054138184"
"105","2.050769329071045","2.050769329071045","2.050769329071045"
"106","1.9799374341964722","1.9799374341964722","1.9799374341964722"
"107","2.058793783187866","2.058793783187866","2.058793783187866"
"108","2.013101100921631","2.013101100921631","2.013101100921631"
"109","2.102313995361328","2.102313995361328","2.102313995361328"
"110","2.052663803100586","2.052663803100586","2.052663803100586"
"111","2.1943979263305664","2.1943979263305664","2.1943979263305664"
"112","2.164670467376709","2.164670467376709","2.164670467376709"
"113","2.1653661727905273","2.1653661727905273","2.1653661727905273"
"114","2.090137481689453","2.090137481689453","2.090137481689453"
"115","2.1056394577026367","2.1056394577026367","2.1056394577026367"
"116","2.1292381286621094","2.1292381286621094","2.1292381286621094"
"117","2.129417896270752","2.129417896270752","2.129417896270752"
"118","2.0622811317443848","2.0622811317443848","2.0622811317443848"
"119","2.1009578704833984","2.1009578704833984","2.1009578704833984"
"120","2.1199193000793457","2.1199193000793457","2.1199193000793457"
"121","2.2420923709869385","2.2420923709869385","2.2420923709869385"
"122","2.037266254425049","2.037266254425049","2.037266254425049"
"123","2.166822910308838","2.166822910308838","2.166822910308838"
"124","2.020944833755493","2.020944833755493","2.020944833755493"
"125","2.0643017292022705","2.0643017292022705","2.0643017292022705"
"126","2.1566126346588135","2.1566126346588135","2.1566126346588135"
"127","2.0666730403900146","2.0666730403900146","2.0666730403900146"
"128","2.0282375812530518","2.0282375812530518","2.0282375812530518"
"129","2.1377079486846924","2.1377079486846924","2.1377079486846924"
"130","2.031870126724243","2.031870126724243","2.031870126724243"
"131","2.0240230560302734","2.0240230560302734","2.0240230560302734"
"132","2.2561988830566406","2.2561988830566406","2.2561988830566406"
"133","2.173220634460449","2.173220634460449","2.173220634460449"
"134","2.2099318504333496","2.2099318504333496","2.2099318504333496"
"135","2.1222407817840576","2.1222407817840576","2.1222407817840576"
"136","2.138848066329956","2.138848066329956","2.138848066329956"
"137","2.0479111671447754","2.0479111671447754","2.0479111671447754"
"138","2.0035476684570312","2.0035476684570312","2.0035476684570312"
"139","2.0683445930480957","2.0683445930480957","2.0683445930480957"
"140","2.1244120597839355","2.1244120597839355","2.1244120597839355"
"141","2.0725467205047607","2.0725467205047607","2.0725467205047607"
"142","2.047194480895996","2.047194480895996","2.047194480895996"
"143","1.9221889972686768","1.9221889972686768","1.9221889972686768"
"144","1.9467707872390747","1.9467707872390747","1.9467707872390747"
"145","2.163194179534912","2.163194179534912","2.163194179534912"
"146","2.04689359664917","2.04689359664917","2.04689359664917"
"147","2.1579713821411133","2.1579713821411133","2.1579713821411133"
"148","2.103745460510254","2.103745460510254","2.103745460510254"
"149","1.9321154356002808","1.9321154356002808","1.9321154356002808"
"150","2.06838321685791","2.06838321685791","2.06838321685791"
"151","2.078423261642456","2.078423261642456","2.078423261642456"
"152","2.1654486656188965","2.1654486656188965","2.1654486656188965"
"153","2.1855411529541016","2.1855411529541016","2.1855411529541016"
"154","2.005980968475342","2.005980968475342","2.005980968475342"
"155","2.118393659591675","2.118393659591675","2.118393659591675"
"156","2.083935499191284","2.083935499191284","2.083935499191284"
"157","2.0004703998565674","2.0004703998565674","2.0004703998565674"
"158","2.1114795207977295","2.1114795207977295","2.1114795207977295"
"159","2.1149370670318604","2.1149370670318604","2.1149370670318604"
"160","2.2421109676361084","2.2421109676361084","2.2421109676361084"
"161","2.044926404953003","2.044926404953003","2.044926404953003"
"162","2.072256565093994","2.072256565093994","2.072256565093994"
"163","2.0604124069213867","2.0604124069213867","2.0604124069213867"
"164","2.021782875061035","2.021782875061035","2.021782875061035"
