"Step","female-silero - loss/g/fm","female-silero - loss/g/fm__MIN","female-silero - loss/g/fm__MAX"
"0","12.341255187988281","12.341255187988281","12.341255187988281"
"1","9.938871383666992","9.938871383666992","9.938871383666992"
"2","9.482453346252441","9.482453346252441","9.482453346252441"
"3","9.751267433166504","9.751267433166504","9.751267433166504"
"4","8.541464805603027","8.541464805603027","8.541464805603027"
"5","6.921657085418701","6.921657085418701","6.921657085418701"
"6","7.970787048339844","7.970787048339844","7.970787048339844"
"7","7.726061820983887","7.726061820983887","7.726061820983887"
"8","8.148706436157227","8.148706436157227","8.148706436157227"
"9","7.670742511749268","7.670742511749268","7.670742511749268"
"10","7.465529918670654","7.465529918670654","7.465529918670654"
"11","9.197312355041504","9.197312355041504","9.197312355041504"
"12","6.7418413162231445","6.7418413162231445","6.7418413162231445"
"13","7.639216899871826","7.639216899871826","7.639216899871826"
"14","7.422746181488037","7.422746181488037","7.422746181488037"
"15","7.532926082611084","7.532926082611084","7.532926082611084"
"16","8.486916542053223","8.486916542053223","8.486916542053223"
"17","7.753962993621826","7.753962993621826","7.753962993621826"
"18","7.03739070892334","7.03739070892334","7.03739070892334"
"19","7.367770195007324","7.367770195007324","7.367770195007324"
"20","7.151913166046143","7.151913166046143","7.151913166046143"
"21","8.274803161621094","8.274803161621094","8.274803161621094"
"22","8.001724243164062","8.001724243164062","8.001724243164062"
"23","8.631086349487305","8.631086349487305","8.631086349487305"
"24","6.947483539581299","6.947483539581299","6.947483539581299"
"25","8.984371185302734","8.984371185302734","8.984371185302734"
"26","7.005924224853516","7.005924224853516","7.005924224853516"
"27","7.791750431060791","7.791750431060791","7.791750431060791"
"28","7.597136974334717","7.597136974334717","7.597136974334717"
"29","7.80816125869751","7.80816125869751","7.80816125869751"
"30","8.796614646911621","8.796614646911621","8.796614646911621"
"31","8.553529739379883","8.553529739379883","8.553529739379883"
"32","8.642372131347656","8.642372131347656","8.642372131347656"
"33","7.792669296264648","7.792669296264648","7.792669296264648"
"34","8.109313011169434","8.109313011169434","8.109313011169434"
"35","7.307406902313232","7.307406902313232","7.307406902313232"
"36","6.556091785430908","6.556091785430908","6.556091785430908"
"37","8.384852409362793","8.384852409362793","8.384852409362793"
"38","8.260518074035645","8.260518074035645","8.260518074035645"
"39","8.299769401550293","8.299769401550293","8.299769401550293"
"40","7.333064556121826","7.333064556121826","7.333064556121826"
"41","6.586717128753662","6.586717128753662","6.586717128753662"
"42","7.287439823150635","7.287439823150635","7.287439823150635"
"43","7.415846824645996","7.415846824645996","7.415846824645996"
"44","7.399348735809326","7.399348735809326","7.399348735809326"
"45","8.497053146362305","8.497053146362305","8.497053146362305"
"46","7.294689655303955","7.294689655303955","7.294689655303955"
"47","7.537574768066406","7.537574768066406","7.537574768066406"
"48","6.686989784240723","6.686989784240723","6.686989784240723"
"49","7.5941691398620605","7.5941691398620605","7.5941691398620605"
"50","7.210529327392578","7.210529327392578","7.210529327392578"
"51","8.214654922485352","8.214654922485352","8.214654922485352"
"52","7.158374309539795","7.158374309539795","7.158374309539795"
"53","9.742796897888184","9.742796897888184","9.742796897888184"
"54","7.435159206390381","7.435159206390381","7.435159206390381"
"55","6.746955394744873","6.746955394744873","6.746955394744873"
"56","7.204967498779297","7.204967498779297","7.204967498779297"
"57","7.7324538230896","7.7324538230896","7.7324538230896"
"58","6.471836090087891","6.471836090087891","6.471836090087891"
"59","7.250616550445557","7.250616550445557","7.250616550445557"
"60","7.419086456298828","7.419086456298828","7.419086456298828"
"61","7.887133598327637","7.887133598327637","7.887133598327637"
"62","5.63749885559082","5.63749885559082","5.63749885559082"
"63","6.826056480407715","6.826056480407715","6.826056480407715"
"64","7.959448337554932","7.959448337554932","7.959448337554932"
