"Step","female-silero - loss/g/total","female-silero - loss/g/total__MIN","female-silero - loss/g/total__MAX"
"123","36.180477142333984","36.180477142333984","36.180477142333984"
"124","36.213966369628906","36.213966369628906","36.213966369628906"
"125","36.05716323852539","36.05716323852539","36.05716323852539"
"126","39.543731689453125","39.543731689453125","39.543731689453125"
"127","37.929908752441406","37.929908752441406","37.929908752441406"
"128","37.02899932861328","37.02899932861328","37.02899932861328"
"129","38.617218017578125","38.617218017578125","38.617218017578125"
"130","37.02489471435547","37.02489471435547","37.02489471435547"
"131","36.60793685913086","36.60793685913086","36.60793685913086"
"132","38.15687942504883","38.15687942504883","38.15687942504883"
"133","37.43803787231445","37.43803787231445","37.43803787231445"
"134","37.19069290161133","37.19069290161133","37.19069290161133"
"135","39.025787353515625","39.025787353515625","39.025787353515625"
"136","35.747520446777344","35.747520446777344","35.747520446777344"
"137","36.017539978027344","36.017539978027344","36.017539978027344"
"138","37.851436614990234","37.851436614990234","37.851436614990234"
"139","36.38555908203125","36.38555908203125","36.38555908203125"
"140","36.40260314941406","36.40260314941406","36.40260314941406"
"141","36.07157897949219","36.07157897949219","36.07157897949219"
"142","39.999969482421875","39.999969482421875","39.999969482421875"
"143","36.11228561401367","36.11228561401367","36.11228561401367"
"144","35.279232025146484","35.279232025146484","35.279232025146484"
"145","38.13274383544922","38.13274383544922","38.13274383544922"
"146","35.74638748168945","35.74638748168945","35.74638748168945"
"147","36.61190414428711","36.61190414428711","36.61190414428711"
"148","37.888450622558594","37.888450622558594","37.888450622558594"
"149","35.57595443725586","35.57595443725586","35.57595443725586"
"150","37.670440673828125","37.670440673828125","37.670440673828125"
"151","35.96311950683594","35.96311950683594","35.96311950683594"
"152","39.6497917175293","39.6497917175293","39.6497917175293"
"153","39.620418548583984","39.620418548583984","39.620418548583984"
"154","35.29697799682617","35.29697799682617","35.29697799682617"
"155","36.753807067871094","36.753807067871094","36.753807067871094"
"156","37.10839080810547","37.10839080810547","37.10839080810547"
"157","36.357112884521484","36.357112884521484","36.357112884521484"
"158","35.9985466003418","35.9985466003418","35.9985466003418"
"159","38.114990234375","38.114990234375","38.114990234375"
"160","37.32771301269531","37.32771301269531","37.32771301269531"
"161","35.97372817993164","35.97372817993164","35.97372817993164"
"162","39.02372741699219","39.02372741699219","39.02372741699219"
"163","36.83174133300781","36.83174133300781","36.83174133300781"
"164","38.36813735961914","38.36813735961914","38.36813735961914"
"165","37.353118896484375","37.353118896484375","37.353118896484375"
"166","35.11559295654297","35.11559295654297","35.11559295654297"
"167","36.7037353515625","36.7037353515625","36.7037353515625"
"168","35.943809509277344","35.943809509277344","35.943809509277344"
"169","37.12919616699219","37.12919616699219","37.12919616699219"
"170","37.991416931152344","37.991416931152344","37.991416931152344"
"171","36.13127899169922","36.13127899169922","36.13127899169922"
"172","36.97793960571289","36.97793960571289","36.97793960571289"
"173","37.703006744384766","37.703006744384766","37.703006744384766"
"174","36.46248245239258","36.46248245239258","36.46248245239258"
"175","35.8978271484375","35.8978271484375","35.8978271484375"
"176","40.21156311035156","40.21156311035156","40.21156311035156"
"177","38.21141815185547","38.21141815185547","38.21141815185547"
