"Step","female-silero - loss/g/kl","female-silero - loss/g/kl__MIN","female-silero - loss/g/kl__MAX"
"154","1.9814993143081665","1.9814993143081665","1.9814993143081665"
"155","2.0608396530151367","2.0608396530151367","2.0608396530151367"
"156","2.604279041290283","2.604279041290283","2.604279041290283"
"157","2.230304002761841","2.230304002761841","2.230304002761841"
"158","2.4554221630096436","2.4554221630096436","2.4554221630096436"
"159","2.2865617275238037","2.2865617275238037","2.2865617275238037"
"160","2.368180990219116","2.368180990219116","2.368180990219116"
"161","2.088076591491699","2.088076591491699","2.088076591491699"
"162","2.6833481788635254","2.6833481788635254","2.6833481788635254"
"163","2.3686482906341553","2.3686482906341553","2.3686482906341553"
"164","2.414719343185425","2.414719343185425","2.414719343185425"
"165","2.5816383361816406","2.5816383361816406","2.5816383361816406"
"166","1.862600326538086","1.862600326538086","1.862600326538086"
"167","2.2438855171203613","2.2438855171203613","2.2438855171203613"
"168","2.8228867053985596","2.8228867053985596","2.8228867053985596"
"169","2.4781601428985596","2.4781601428985596","2.4781601428985596"
"170","2.27730393409729","2.27730393409729","2.27730393409729"
"171","2.4409520626068115","2.4409520626068115","2.4409520626068115"
"172","2.4324748516082764","2.4324748516082764","2.4324748516082764"
"173","2.319709300994873","2.319709300994873","2.319709300994873"
"174","2.4505438804626465","2.4505438804626465","2.4505438804626465"
"175","2.2920703887939453","2.2920703887939453","2.2920703887939453"
"176","2.985714912414551","2.985714912414551","2.985714912414551"
"177","2.5137569904327393","2.5137569904327393","2.5137569904327393"
"178","2.8965904712677","2.8965904712677","2.8965904712677"
"179","2.764578342437744","2.764578342437744","2.764578342437744"
"180","2.5742056369781494","2.5742056369781494","2.5742056369781494"
"181","2.3811516761779785","2.3811516761779785","2.3811516761779785"
"182","2.1547160148620605","2.1547160148620605","2.1547160148620605"
"183","2.6899423599243164","2.6899423599243164","2.6899423599243164"
"184","2.27685546875","2.27685546875","2.27685546875"
"185","2.7302377223968506","2.7302377223968506","2.7302377223968506"
"186","2.14908766746521","2.14908766746521","2.14908766746521"
"187","2.5077991485595703","2.5077991485595703","2.5077991485595703"
"188","2.0826358795166016","2.0826358795166016","2.0826358795166016"
"189","2.4689481258392334","2.4689481258392334","2.4689481258392334"
"190","2.2913289070129395","2.2913289070129395","2.2913289070129395"
"191","2.374702215194702","2.374702215194702","2.374702215194702"
"192","2.0622501373291016","2.0622501373291016","2.0622501373291016"
"193","2.4305245876312256","2.4305245876312256","2.4305245876312256"
"194","2.515035390853882","2.515035390853882","2.515035390853882"
"195","2.308408737182617","2.308408737182617","2.308408737182617"
"196","2.565246343612671","2.565246343612671","2.565246343612671"
"197","2.412914276123047","2.412914276123047","2.412914276123047"
"198","1.9001520872116089","1.9001520872116089","1.9001520872116089"
"199","2.58152437210083","2.58152437210083","2.58152437210083"
"200","2.3451170921325684","2.3451170921325684","2.3451170921325684"
"201","2.527376413345337","2.527376413345337","2.527376413345337"
"202","2.2230851650238037","2.2230851650238037","2.2230851650238037"
"203","2.2649950981140137","2.2649950981140137","2.2649950981140137"
"204","2.3100807666778564","2.3100807666778564","2.3100807666778564"
"205","2.4421675205230713","2.4421675205230713","2.4421675205230713"
"206","2.64432430267334","2.64432430267334","2.64432430267334"
"207","2.351583242416382","2.351583242416382","2.351583242416382"
"208","2.113820791244507","2.113820791244507","2.113820791244507"
"209","2.416318655014038","2.416318655014038","2.416318655014038"
"210","2.8935582637786865","2.8935582637786865","2.8935582637786865"
"211","2.4029014110565186","2.4029014110565186","2.4029014110565186"
